scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,PSI_TRUE_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,BETA_TRUE_scenario,SIGMA_SQ_TRUE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Hat_PW,Median_Beta_Hat_PW,SD_Beta_Hat_PW,Bias_Beta_PW,MSE_Beta_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Hat_GM,Median_Beta_Hat_GM,SD_Beta_Hat_GM,Bias_Beta_GM,MSE_Beta_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM
1,10000,6,1,-0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,0.005282187461853026,1.469856603585404,1.4455564140747814,0.10819943514811199,-0.030143396414596086,0.01144503033714093,1.956724415021001,1.9454369152740332,0.3040933772765681,0.9567244150210009,0.9985471101903988,-0.20353406184086875,-0.21240607588889648,0.10774650465391948,0.09646593815913122,0.01975405556354471,50,50,1,6.9,10,10,0.014179325103759766,1.4615729937246982,1.4636277041591716,0.10077796810436149,-0.038427006275301864,0.010617213781001418,-0.15770577775458477,-0.11080338004731156,0.15333469344249248,1.926448069941021,1.9461962670982824,0.30473627016497384,0.926448069941021,0.9418838012160968
2,25000,6,1,-0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.0389556884765626e-4,1.5018505264177386,1.5185801566375239,0.110176430004673,0.001850526417738685,0.010928385603739899,1.8990331864692294,1.8709643122486774,0.19318663648525441,0.8990331864692294,0.8418496392378535,-0.1550923313344565,-0.16410223603823687,0.1574170525825518,0.1449076686655435,0.043300348037483026,50,50,1,6.5,10,10,0.010181212425231933,1.4897196021747552,1.4942541309625654,0.10642641557090395,-0.010280397825244907,0.010299610317588973,-0.08686448088080817,-0.06097884965405604,0.1089436837702365,1.8840508485639333,1.8621192148662797,0.19937766240427152,0.8840508485639333,0.8173222098858232
3,10000,7,1,-0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,0.001727986335754395,1.4666597693479457,1.4988676359836526,0.15770949470553725,-0.03334023065205427,0.02349662722818047,1.9619087767568155,1.8839363447433146,0.37006816938456805,0.9619087767568154,1.0485238997942739,-0.22231793519466544,-0.2195121141574862,0.10964979243598606,0.07768206480533453,0.016855272475549535,50,50,1,6.9,10,10,0.012075471878051757,1.4807938550479935,1.4689352051007125,0.16865008257165715,-0.019206144952006454,0.02596744132020158,-0.167986209400317,-0.12718128217718122,0.19478954638285395,1.917280301708117,1.8491519104173026,0.3697257051351209,0.917280301708117,0.9644305392356303
4,25000,7,1,-0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.3200511932373047e-4,1.4302016277035292,1.4708516167755943,0.12852735656061312,-0.0697983722964707,0.01973916602124981,1.957937704744516,2.007656683102673,0.17682716102966817,0.9579377047445159,0.9457857065612222,-0.13730335695226656,-0.18065781057234104,0.15640821033674243,0.16269664304773343,0.04848737309366998,50,50,1,6.3,10,10,0.013337135314941406,1.4334868916807162,1.464101924561375,0.13611232539437362,-0.06651310831928373,0.021097902190130233,-0.16916381457880647,-0.20930514951251278,0.14618253039318305,1.9266715145356825,1.9502717494167028,0.19468135427429617,0.9266715145356826,0.8928308425837225
5,10000,6,1,0,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.9683837890625e-4,1.5044367131253706,1.5177713697718578,0.1037168861610558,0.004436713125370682,0.009701157650807705,1.9787941884711975,2.0299362684229774,0.2627806279266619,0.9787941884711975,1.0201863559571676,0.003421547550256328,-0.032199019379116456,0.10860911069647429,0.003421547550256328,0.010628052021289771,50,50,1,5.5,10,10,0.01015174388885498,1.4959099539567489,1.5116205627076766,0.0922122033354467,-0.004090046043251156,0.007669509876215905,0.0016701521688176008,0.01632028640530355,0.08929559260208407,1.9703019391879464,2.031775912245971,0.2692053782725439,0.9703019391879464,1.0067102353136663
6,25000,6,1,0,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.6977787017822266e-4,1.4550329001169895,1.429548352505175,0.09964664261100273,-0.04496709988301053,0.01095854811716906,2.0049524150733897,2.0057733356089016,0.19457492282238795,1.00495241507339,1.0440028170940432,-0.03380139981167994,-0.047185112830094994,0.16267468642544655,-0.03380139981167994,0.024959282872484667,50,50,1,5.6,10,10,0.009448099136352538,1.459431578574498,1.431247026667719,0.10609576656602586,-0.04056842142550197,0.011776477331866514,-0.053023562446148725,-0.06778243109356553,0.19237199780887876,1.9602613029005906,1.9271525346154768,0.1882879682129446,0.9602613029005906,0.9540088929247228
7,10000,7,1,0,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.7812252044677735e-4,1.435923715176245,1.3995347101671265,0.20931152599108588,-0.06407628482375513,0.0435359536982603,1.9793859680445365,2.078685220686474,0.25892744396583844,0.9793859680445365,1.0195359535173478,0.04093183519894513,0.02894934942638381,0.08570605474736637,0.04093183519894513,0.00828639017107631,50,50,1,5,10,10,0.011470723152160644,1.4406719435075759,1.3965939265904024,0.20363130424646522,-0.05932805649242416,0.040838955549373106,-0.03342984723707423,-0.06465401823078692,0.16231558589901224,1.9557680804280675,2.0520443713986927,0.27535733225174863,0.9557680804280674,0.9817321179474726
8,25000,7,1,0,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.8510818481445312e-4,1.4850736378008313,1.57219761928007,0.21091187990383262,-0.014926362199168689,0.04025823526461261,1.9552416520992932,1.9171779542719372,0.42614385160316637,0.9552416520992933,1.0759253379386506,-2.0360639704626734e-4,0.05438196152903001,0.16770551103329331,-2.0360639704626734e-4,0.02531266604340918,50,50,1,5.9,10,10,0.010505247116088866,1.4936624638487486,1.5539027072342713,0.2000613852725137,-0.006337536151251353,0.036062266453909864,0.027504518247661952,0.050744367762661786,0.18991169411534656,1.9175862375130994,1.8896695901014073,0.4392899488434679,0.9175862375130993,1.0156425965128528
9,10000,6,1,0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.9252300262451172e-4,1.3943714494253288,1.3817557605627968,0.18571508044309626,-0.10562855057467117,0.04219847269009301,2.115032061227515,2.22327318213786,0.24419682481212465,1.115032061227515,1.296965377888772,0.17394222342948196,0.17819765002510304,0.13230765408514258,-0.12605777657051803,0.031645346830465014,50,50,1,5.7,10,10,0.010173869132995606,1.3785703509144769,1.3840663392566608,0.19794141416415115,-0.12142964908552309,0.050007882774206903,0.060882013294051046,0.055332915039192423,0.14775180969811366,2.0665659045153393,2.1385536814111523,0.22970283512665654,1.0665659045153395,1.1850498818933257
10,25000,6,1,0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,2.1173954010009766e-4,1.4723364524776852,1.4910592863780172,0.09077871728927225,-0.02766354752231478,0.008181969822936423,1.9536216575396237,1.9305648453785418,0.2068152590512976,0.9536216575396237,0.9478895619674291,0.19711455321099297,0.2447745617604532,0.16565346619083668,-0.10288544678900703,0.0352823789359084,50,50,1,6.8,10,10,0.011304998397827148,1.463202682436798,1.4770851263183453,0.10375325197375476,-0.03679731756320201,0.011042306145463634,-0.02693361704090257,0.05110653287042438,0.19134672959037075,1.9263331893785443,1.9194014896484877,0.22474031115794968,0.9263331893785444,0.9035505644576609
11,10000,7,1,0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,1.7092227935791015e-4,1.4625838925337833,1.5031348791883863,0.14624606042723273,-0.03741610746621663,0.020649084269360702,2.0774326942304913,2.013914003709475,0.2572264940152573,1.0774326942304913,1.2204101328978183,0.13437918370262092,0.14615615556928174,0.06655572492631873,-0.16562081629737907,0.031416952859431205,50,50,1,5.2,10,10,0.009904742240905762,1.453793970162209,1.487812936514934,0.13398499206695444,-0.046206029837791075,0.018291777482634504,0.08024190355501097,0.13940772065436968,0.22536143339847334,2.0227559066085252,1.984039635126531,0.2567536971392771,1.022755906608525,1.1053598593978449
12,25000,7,1,0.3,50,2,uniform,1.5,1,200,10,4,TRUE,10,10,4.931449890136719e-4,1.5598931885597507,1.5662078266710864,0.11446407089955384,0.05989318855975064,0.015379015210062122,2.0302884806516865,2.0124527790710323,0.3216414949661801,1.0302884806516863,1.1546022795192317,0.12642742334798376,0.13219454730395414,0.14930057867850832,-0.17357257665201622,0.05018903587998375,50,50,1,5.7,10,10,0.017090868949890137,1.5607321528311757,1.5873933744217559,0.09804766633920572,0.06073215283117571,0.012340404774617076,0.008919715182366892,0.03799059106601199,0.17125691444584296,2.00205502009739,1.9728426680099225,0.3098028949450021,1.00205502009739,1.0904943136470537
