scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,K_MAX_TAYLOR_DGP_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM,RE_Beta_Slope_PW_vs_GM,RE_SpatialCorr_PW_vs_GM,RE_SigmaSq_PW_vs_GM
1,5000,30,7,1,-0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,0.0011901092529296889,1.5037110751381524,1.502029874084914,0.015255706946072119,0.0037110751381523054,2.4418130716120104e-4,0.10458949615677411,0.104527765006865,0.006739402915607124,0.004589496156774099,6.602883111534912e-5,-0.1333311034624124,-0.13320621402465438,0.05617204454306436,0.1666688965375876,0.030902266675323607,250,250,1,4.95,100,100,0.016031818389892562,1.5012948166621172,1.5012948166621172,0,0.0012948166621171708,1.6765501884962517e-6,-0.3029605741223299,-0.3029605741223299,0,-0.0029605741223299176,8.764999133809561e-6,0.09993636440005962,0.09993636440005962,0,-6.363559994038148e-5,4.049489579772279e-9,0.006866005461218391,2.836361237154386e-4,6.132911201620425e-5
2,10000,30,7,1,-0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,2.838850021362305e-4,1.4986123410707297,1.4973564110221311,0.013962052528240333,-0.0013876589292702412,1.9491511899731213e-4,0.10452965782779296,0.10354809399891335,0.006497761873150507,0.004529657827792948,6.231650030345263e-5,-0.08512300398531752,-0.08245968534372054,0.06667592098555207,0.21487699601468246,0.05057334507117273,250,250,1,4.41,100,100,0.04198109149932851,1.4997233844936377,1.4997233844936377,0,-2.766155063622655e-4,7.651613836005255e-8,-0.2799995878470819,-0.2799995878470819,0,0.02000041215291809,4.000164862865936e-4,0.1007463985692694,0.1007463985692694,0,7.463985692693909e-4,5.571108242073937e-7,3.92561330048018e-4,0.007909630769403202,0.008940021045702516
3,25000,30,7,1,-0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,0.0013219618797302248,1.4991602458422275,1.4976451933088137,0.015129611249468935,-8.397541577725663e-4,2.2732127223995261e-4,0.10512175239587071,0.10481174270152219,0.007187328239189925,0.005121752395870705,7.737345795028566e-5,-0.037757020897072995,-0.040959988974105355,0.061189760088660096,0.262242979102927,0.07247812496108891,250,250,1,4.06,100,100,0.1906251406669616,1.4989800641525959,1.4989800641525959,0,-0.0010199358474041187,1.0402691328199576e-6,-0.31341406387874116,-0.31341406387874116,0,-0.013414063878741167,1.7993710974294853e-4,0.10044654798900483,0.10044654798900483,0,4.4654798900482795e-4,1.9940510648425595e-7,0.004576206716465517,0.002482640242687718,0.0025771771324008628
4,5000,30,7,1,0,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,3.1632184982299805e-4,1.4966612017218661,1.498889443073987,0.01588846351022307,-0.0033387982781339877,2.610664139306035e-4,0.09834847423576902,0.09746867532111965,0.006421313777034524,-0.001651525764230992,4.354847526682081e-5,-0.004793177192199547,-0.0036922760234795347,0.06576974203528949,-0.004793177192199547,0.0043053769253104624,250,250,1,4.03,100,100,0.009603018760681157,1.4947969695502987,1.4947969695502987,0,-0.005203030449701274,2.707152586051864e-5,-0.031046863867106308,-0.031046863867106308,0,-0.031046863867106308,9.639077559826313e-4,0.09943868146552186,0.09943868146552186,0,-5.613185344781474e-4,3.1507849714869514e-7,0.10369593488848693,0.22388463837300923,0.007235121211895807
5,10000,30,7,1,0,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,3.163647651672363e-4,1.5005794453025592,1.5008012443192578,0.01477125863497498,5.794453025591793e-4,2.1634393770336748e-4,0.09998164782339357,0.09989123872952377,0.006776857758567747,-1.8352176606437926e-5,4.546687987144748e-5,-0.017522940520361414,-0.020150232606377695,0.05533257924269317,-0.017522940520361414,0.0033381308268725547,250,250,1,4,100,100,0.03952923059463506,1.4980037251361409,1.4980037251361409,0,-0.0019962748638591155,3.98511333207573e-6,-0.019633686228761847,-0.019633686228761847,0,-0.019633686228761847,3.854816349294726e-4,0.09960653241702443,0.09960653241702443,0,-3.9346758297557904e-4,1.5481673885264417e-07,0.01842026808969235,0.11547828857583292,0.003405044271574632
6,25000,30,7,1,0,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,2.856755256652832e-4,1.5009602751227544,1.500324008119824,0.013423898059876954,9.602751227543466e-4,1.793211570421294e-4,0.09984768516576606,0.0997576023060923,0.006966390990019066,-1.5231483423395337e-4,4.806849720028834e-5,-0.009468867015930202,-0.009018216069074471,0.05923160773080322,-0.009468867015930202,0.003562958963397363,250,250,1,3.96,100,100,0.20704127788543672,1.500343015788974,1.500343015788974,0,3.4301578897411034e-4,1.176598314855314e-7,0.003588523036715984,0.003588523036715984,0,0.003588523036715984,1.2877497585041308e-5,0.10130268166981127,0.10130268166981127,0,0.001302681669811262,1.6969795328622578e-6,6.561402649096704e-4,0.0036142705311324494,0.03530336148832376
7,5000,30,7,1,0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,3.0840873718261723e-4,1.4981390253147682,1.497975044931084,0.016516436121417087,-0.0018609746852318654,2.735279623103964e-4,0.10640780467366516,0.1053677110268763,0.008209815288779523,0.0064078046736651545,1.0778701714096422e-4,0.18533172797403044,0.17773033806820332,0.06474119771619517,-0.11466827202596956,0.017298321064331955,250,250,1,5.23,100,100,0.014128389358520541,1.4977438305385768,1.4977438305385768,0,-0.002256169461423152,5.090300638658436e-6,0.3199375224126254,0.3199375224126254,0,0.01993752241262542,3.975047999539409e-4,0.09994903269757018,0.09994903269757018,0,-5.0967302429830164e-5,2.5976659169737715e-9,0.018609799874434854,0.02297938617716899,2.409998890289853e-5
8,10000,30,7,1,0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,3.394675254821777e-4,1.497139164542392,1.4982312967074989,0.014493707984140803,-0.002860835457607994,2.161512749337585e-4,0.10479859438685993,0.10380020700246903,0.006459033761819434,0.0047985943868599145,6.432843405456357e-5,0.14093812058503735,0.14307657555594744,0.06118998945216153,-0.15906187941496264,0.029007454144084194,250,250,1,4.65,100,100,0.032497251033783016,1.498441624230912,1.498441624230912,0,-0.0015583757690880162,2.428535037680666e-6,0.28165701350287947,0.28165701350287947,0,-0.018342986497120517,3.364651536335456e-4,0.09969641603657432,0.09969641603657432,0,-3.035839634256826e-4,9.216322284924619e-8,0.011235349124935361,0.011599265208255603,0.0014326980627427223
9,25000,30,7,1,0.3,0.1,4,250,2,uniform,400,100,4,TRUE,100,100,3.7042856216430665e-4,1.5009612381498414,1.4999196394456442,0.014300467571092747,9.612381498413149e-4,2.0338231780506698e-4,0.1065204581117866,0.10586940270162808,0.0074142068479816315,0.006520458111786603,9.693713254037483e-5,0.0933892213867421,0.08821009702357047,0.06178728612723053,-0.20661077861325788,0.04646750587887523,250,250,1,4.22,100,100,0.17549263000488305,1.5002530097902338,1.5002530097902338,0,2.5300979023379355e-4,6.401395395414821e-8,0.3114172217137324,0.3114172217137324,0,0.011417221713732384,1.3035295166052222e-4,0.09949548013236482,0.09949548013236482,0,-5.045198676351809e-4,2.5454029683862044e-7,3.1474689955841086e-4,0.002805249586674771,0.002625828618693699
10,5000,30,7,1,0.9,0.1,4,250,2,uniform,400,100,4,TRUE,100,0,0.001990108489990235,1.4925751127167914,1.4935664911119129,0.025709451059609836,-0.0074248872832086334,7.094950662169619e-4,48.0672325153034,55.11452269451683,20.397254360560957,47.96723251530341,2712.742900772109,0.10558839617157532,0.013144865257580202,0.23957226492639125,-0.7944116038284247,0.6879107177179914,250,250,0,NA,100,100,0.010470108985900893,1.50018871733856,1.50018871733856,0,1.8871733855996276e-4,3.5614233873155604e-8,0.9243166454391837,0.9243166454391837,0,0.02431664543918366,5.912992454149714e-4,0.105596040422,0.105596040422,0,0.005596040422000001,3.131566840465795e-5,5.019659130690115e-5,8.595581231478562e-4,1.1543913135205255e-8
