scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,K_MAX_TAYLOR_DGP_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM,RE_Beta_Slope_PW_vs_GM,RE_SpatialCorr_PW_vs_GM,RE_SigmaSq_PW_vs_GM
1,5000,30,7,1,-0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,3.5043478012085116e-4,1.504849290616772,1.5048296078960486,0.01271807238460048,0.004849290616772094,1.849414859354914e-4,0.10539565078030437,0.10528129610741843,0.0055363394382170195,0.00539565078030437,5.9702799609405997e-5,-0.12280216948309725,-0.12511649355571702,0.050211295611741126,0.17719783051690274,0.03391520299849262,400,400,1,4.788,500,500,0.0026940841674804425,1.5012948166621172,1.5012948166621172,0,0.0012948166621171708,1.6765501884962517e-6,-0.3029605741223299,-0.3029605741223299,0,-0.0029605741223299176,8.764999133809561e-6,0.09993636440005962,0.09993636440005962,0,-6.363559994038148e-5,4.049489579772279e-9,0.009065300735612352,2.584386457660043e-4,6.782746548344937e-5
2,10000,30,7,1,-0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.2042989730834968e-4,1.49853854946915,1.498545850759231,0.012651836248813463,-0.0014614505308499707,1.6188466019997853e-4,0.10422875164967572,0.1039813037535787,0.00555187033198765,0.004228751649675725,4.8643958169473406e-5,-0.0806706870358089,-0.08308832035400811,0.05074089347479149,0.2193293129641911,0.05067483651942298,400,400,1,4.382,500,500,0.006541784286498968,1.4997233844936377,1.4997233844936377,0,-2.766155063622655e-4,7.651613836005255e-8,-0.2799995878470819,-0.2799995878470819,0,0.02000041215291809,4.000164862865936e-4,0.1007463985692694,0.1007463985692694,0,7.463985692693909e-4,5.571108242073937e-7,4.7265836222858316e-4,0.007893789378743684,0.011452826726526739
3,25000,30,7,1,-0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.4601078033447283e-4,1.499172689356092,1.499703651499956,0.012255225787974071,-8.27310643908137e-4,1.5057462089752e-4,0.10544869518989007,0.10537232859784845,0.005188906176073698,0.005448695189890059,5.655917708181865e-5,-0.05047987836149581,-0.04722157757270294,0.05149469519609647,0.24952012163850418,0.06490669132856612,400,400,1,4.122,500,500,0.034006186008453475,1.4989800641525959,1.4989800641525959,0,-0.0010199358474041187,1.0402691328199576e-6,-0.31341406387874116,-0.31341406387874116,0,-0.013414063878741167,1.7993710974294853e-4,0.10044654798900483,0.10044654798900483,0,4.4654798900482795e-4,1.9940510648425595e-7,0.006908661809136862,0.0027722428313605367,0.003525601268840882
4,5000,30,7,1,0,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.0498704910278334e-4,1.4973385172133644,1.4974645061235836,0.011889690908127937,-0.00266148278663549,1.481655110145956e-4,0.09782445160206171,0.0975560091324264,0.00499563222333103,-0.002175548397938296,2.9639439459933635e-5,-0.006790316351632223,-0.006885858755272662,0.05431745338799242,-0.006790316351632223,0.0029905933672268615,400,400,1,3.93,500,500,0.001847409725189184,1.4947969695502987,1.4947969695502987,0,-0.005203030449701274,2.707152586051864e-5,-0.031046863867106308,-0.031046863867106308,0,-0.031046863867106308,9.639077559826313e-4,0.09943868146552186,0.09943868146552186,0,-5.613185344781474e-4,3.1507849714869514e-7,0.18271138590310573,0.3223132126707184,0.010630379753794461
5,10000,30,7,1,0,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.005276679992676e-4,1.5004443131597853,1.5002966553577863,0.012171100526560993,4.443131597852892e-4,1.4803683083555632e-4,0.09995241227053293,0.09991082276610352,0.005413160427878824,-4.7587729467069476e-5,2.9245965798313166e-5,-0.02091840589474654,-0.01883432878342737,0.049155521877951795,-0.02091840589474654,0.0028490125056089746,400,400,1,3.898,500,500,0.006193022251129212,1.4980037251361409,1.4980037251361409,0,-0.0019962748638591155,3.98511333207573e-6,-0.019633686228761847,-0.019633686228761847,0,-0.019633686228761847,3.854816349294726e-4,0.09960653241702443,0.09960653241702443,0,-3.9346758297557904e-4,1.5481673885264417e-07,0.02691974226672355,0.135303595252937,0.005293610063018457
6,25000,30,7,1,0,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,1.9318246841430663e-4,1.4990979385290006,1.4993535986373032,0.011365524504843485,-9.020614709993645e-4,1.2973051187311875e-4,0.10061467637604032,0.10050528019796692,0.005337320189612955,6.146763760403242e-4,2.880783988009922e-5,-0.0010521226883067694,-6.197527657111886e-4,0.05005038304244206,-0.0010521226883067694,0.0025011377231610337,400,400,1,3.83,500,500,0.03217871379852324,1.500343015788974,1.500343015788974,0,3.4301578897411034e-4,1.176598314855314e-7,0.003588523036715984,0.003588523036715984,0,0.003588523036715984,1.2877497585041308e-5,0.10130268166981127,0.10130268166981127,0,0.001302681669811262,1.6969795328622578e-6,9.069557329782764e-4,0.005148655935973903,0.05890686493417198
7,5000,30,7,1,0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.1028470993041993e-4,1.4980506717701283,1.4978462995973707,0.012984224453353383,-0.0019493282298717247,1.7205278503352458e-4,0.1066541930216794,0.10650027527178835,0.005918960546718998,0.006654193021679394,7.92423105354756e-5,0.1793408651188393,0.1794452570109738,0.05218119402008955,-0.12065913488116072,0.017276058085613638,400,400,1,5.114,500,500,0.0016310238838195994,1.4977438305385768,1.4977438305385768,0,-0.002256169461423152,5.090300638658436e-6,0.3199375224126254,0.3199375224126254,0,0.01993752241262542,3.975047999539409e-4,0.09994903269757018,0.09994903269757018,0,-5.0967302429830164e-5,2.5976659169737715e-9,0.02958569161008692,0.023008998811190423,3.2781299528246786e-5
8,10000,30,7,1,0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.1069288253784191e-4,1.4959840973542808,1.4968215910815237,0.011692449452074195,-0.004015902645719253,1.525674215008266e-4,0.10495949215831121,0.10486949894699946,0.005503612676322463,0.004959492158311202,5.4825735454345676e-5,0.1435853185429771,0.1448322281946392,0.049294027113345094,-0.1564146814570229,0.026890593882135036,400,400,1,4.632,500,500,0.00606804609298699,1.498441624230912,1.498441624230912,0,-0.0015583757690880162,2.428535037680666e-6,0.28165701350287947,0.28165701350287947,0,-0.018342986497120517,3.364651536335456e-4,0.09969641603657432,0.09969641603657432,0,-3.035839634256826e-4,9.216322284924619e-8,0.01591778253699797,0.012512373475584662,0.0016810211862272615
9,25000,30,7,1,0.3,0.1,4,1000,2,uniform,400,500,4,TRUE,500,500,2.1131134033203122e-4,1.5013689894362625,1.5005439118217532,0.011530325416379291,0.0013689894362625779,1.3455663947578556e-4,0.10664461587632039,0.10631636680492276,0.005518672432859418,0.006644615876320381,7.454575407420896e-5,0.08755245766444063,0.08776701442356374,0.05017574055676954,-0.21244754233555935,0.04764652797495869,400,400,1,4.03,500,500,0.03263169622421254,1.5002530097902338,1.5002530097902338,0,2.5300979023379355e-4,6.401395395414821e-8,0.3114172217137324,0.3114172217137324,0,0.011417221713732384,1.3035295166052222e-4,0.09949548013236482,0.09949548013236482,0,-5.045198676351809e-4,2.5454029683862044e-7,4.7573983865484385e-4,0.002735833169817349,0.003414551237689945
10,5000,30,7,1,0.9,0.1,4,1000,2,uniform,400,500,4,TRUE,500,0,0.0020253491401672373,1.4951475689031553,1.4949252901671364,0.018915674877920754,-0.004852431096844704,3.8063323812465304e-4,50.969342038191364,57.253395854948266,19.499143476606132,50.86934203819137,2967.146122527132,0.0958910223379,0.012931462712205964,0.23183814695919874,-0.8041089776621,0.7002326764894918,400,400,0,NA,500,500,0.002987568378448519,1.50018871733856,1.50018871733856,0,1.8871733855996276e-4,3.5614233873155604e-8,0.9243166454391837,0.9243166454391837,0,0.02431664543918366,5.912992454149714e-4,0.105596040422,0.105596040422,0,0.005596040422000001,3.131566840465795e-5,9.356574861571166e-5,8.444325226000002e-4,1.0554137582542195e-8
