scenario_id,TOTAL_POINTS_TO_GENERATE_scenario,K_MAX_TAYLOR_DGP_scenario,H3_RESOLUTION_scenario,K_RING_SEPARATION_scenario,LAMBDA_TRUE_scenario,SIGMA_SQ_EPS_TRUE_scenario,K_NEIGHBORS_FOR_W_scenario,TARGET_Q_PAIRS_scenario,MIN_OBS_PER_H3_scenario,DATA_TYPE_scenario,MAX_ITERATIONS_H3_SELECT_scenario,N_SIMULATIONS_per_scenario,K_FOR_GM_WEIGHTS_scenario,RUN_GM_MODEL_scenario,N_Valid_Runs_PW,N_Converged_PW,Mean_Time_PW,Mean_Beta_Slope_Hat_PW,Median_Beta_Slope_Hat_PW,SD_Beta_Slope_Hat_PW,Bias_Beta_Slope_PW,MSE_Beta_Slope_PW,Mean_SigmaSq_Hat_PW,Median_SigmaSq_Hat_PW,SD_SigmaSq_Hat_PW,Bias_SigmaSq_PW,MSE_SigmaSq_PW,Mean_Psi_Hat_PW,Median_Psi_Hat_PW,SD_Psi_Hat_PW,Bias_Psi_PW,MSE_Psi_PW,Avg_Q_Pairs_Used_PW,Avg_H3_Selected_Count,ConvergenceRate_PW,Avg_Iterations_To_Converge_PW,N_Valid_Runs_GM,N_Converged_GM,Mean_Time_GM,Mean_Beta_Slope_Hat_GM,Median_Beta_Slope_Hat_GM,SD_Beta_Slope_Hat_GM,Bias_Beta_Slope_GM,MSE_Beta_Slope_GM,Mean_Lambda_Hat_GM,Median_Lambda_Hat_GM,SD_Lambda_Hat_GM,Bias_Lambda_GM,MSE_Lambda_GM,Mean_SigmaSq_Hat_GM,Median_SigmaSq_Hat_GM,SD_SigmaSq_Hat_GM,Bias_SigmaSq_GM,MSE_SigmaSq_GM,RE_Beta_Slope_PW_vs_GM,RE_SpatialCorr_PW_vs_GM,RE_SigmaSq_PW_vs_GM
1,5000,30,6,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,6.34241104125976e-4,1.5032160042620397,1.506258733302388,0.06076298146069515,0.0032160042620397386,0.0036655612002463103,1.0665307460192395,1.0683576583224144,0.0865979369278265,0.06653074601923947,0.01185055081923081,-0.052243216747780756,-0.06156430997949331,0.078501082012419,0.24775678325221923,0.06748421932583647,200,200,1,4.68,100,100,0.009896819591522213,1.504094569804843,1.504094569804843,0,0.004094569804842907,1.676550188673128e-5,-0.30296057416479233,-0.30296057416479233,0,-0.00296057416479234,8.764999385235862e-6,0.9993636439958653,0.9993636439958653,0,-6.363560041346972e-4,4.049489639982787e-7,0.004573788560836117,1.2988220761531673e-4,3.4171319981273495e-5
2,10000,30,6,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,2.0653009414672852e-4,1.479345003750674,1.4847667908917215,0.05650587797292325,-0.020654996249326138,0.0035876139730956595,1.0507537256729156,1.0563500520506042,0.08184663155454962,0.05075372567291562,0.009207823055539507,-0.03577094934133853,-0.029350938009974833,0.07344621724698279,0.2642290506586615,0.07515739457158957,200,200,1,4.57,100,100,0.030007610321044986,1.4991252649628535,1.4991252649628535,0,-8.747350371465235e-4,7.651613852117298e-7,-0.2799995879719082,-0.2799995879719082,0,0.020000412028091774,4.000164812934381e-4,1.0074639856796948,1.0074639856796948,0,0.007463985679694751,5.571108222668832e-5,2.1327862778711717e-4,0.005322383560175319,0.006050407560033643
3,25000,30,6,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.9274234771728515e-4,1.5056338475923219,1.5020541078104963,0.05476720510652683,0.005633847592321803,0.0030011925263220855,1.0363329479735535,1.0334881855456022,0.07538356674440068,0.0363329479735535,0.006945938422205382,-0.0201885310332432,-0.028677918772563753,0.07685324752141741,0.2798114689667568,0.08414181560337666,200,200,1,4.53,100,100,0.14792085886001613,1.4967746796548875,1.4967746796548875,0,-0.00322532034511247,1.0402691328596423e-5,-0.31341406401293986,-0.31341406401293986,0,-0.013414064012939875,1.7993711334324863e-4,1.004465479874782,1.004465479874782,0,0.0044654798747820745,1.9940510512083733e-5,0.0034661859368764853,0.0021384981064757015,0.002870815907082644
4,5000,30,7,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.961398124694824e-4,1.4887036167542382,1.4887103702266409,0.05672653924226858,-0.011296383245761857,0.003313329526295719,1.032801186103727,1.0277428069159336,0.06978264545989489,0.03280118610372702,0.005896839241118907,-0.1083596752841089,-0.10853286439677426,0.07614863057205892,0.19164032471589107,0.04246664185583208,200,200,1,5.21,100,100,0.00905618906021117,1.4783032717573967,1.4783032717573967,0,-0.02169672824260327,4.7074801643337837e-4,-0.3284167622414618,-0.3284167622414618,0,-0.028416762241461835,8.07512376287771e-4,0.9937564865693767,0.9937564865693767,0,-0.006243513430623349,3.8981459958374134e-5,0.1420770293740362,0.019015216202617462,0.006610568537557338
5,10000,30,7,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,2.0736217498779297e-4,1.5014799708854736,1.501768762171647,0.04977046773888251,0.001479970885473497,0.002454518778179523,1.052254986533445,1.0515222879437536,0.0821177864848925,0.05225498653344486,0.009406481166217113,-0.11091047096479181,-0.11273809642460755,0.0691487052038034,0.18908952903520818,0.04048857798780572,200,200,1,5.25,100,100,0.028200578689575168,1.4934235435794123,1.4934235435794123,0,-0.006576456420587684,4.324977905188898e-5,-0.31767105521864614,-0.31767105521864614,0,-0.017671055218646148,3.122661925404413e-4,0.9950597448738902,0.9950597448738902,0,-0.004940255126109849,2.4406120711054643e-5,0.017620471856388337,0.007712451463088901,0.0025946068758111117
6,25000,30,7,1,-0.3,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.9586801528930663e-4,1.498507212462451,1.4954852067898923,0.04823188080823758,-0.0014927875375489576,0.002305279597669298,1.0569637687330966,1.0467031774569788,0.07208033708599182,0.05696376873309653,0.00838849019276361,-0.04955604528354613,-0.0568280552875398,0.0674042266720519,0.25044395471645386,0.06722007092954198,200,200,1,4.69,100,100,0.148120138645172,1.5007895302448022,1.5007895302448022,0,7.895302448022168e-4,6.233580074574484e-7,-0.29294946358127927,-0.29294946358127927,0,0.007050536418720721,4.971006379170721e-5,1.0155026860135705,1.0155026860135705,0,0.015502686013570521,2.4033327363535506e-4,2.704045132259361e-4,7.395122186617711e-4,0.028650361163046985
7,5000,30,6,1,0,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.9854307174682617e-4,1.4975846878459937,1.4917147816863479,0.04752192883812511,-0.002415312154006329,0.002241584116092159,0.9721102272872537,0.9668106559259145,0.06885578499790838,-0.027889772712746272,0.00547154735837005,-0.0020335250498489245,0.005755792954490414,0.06720907400906624,-0.0020335250498489245,0.004476024256992942,200,200,1,4.37,100,100,0.00896471977233889,1.4909131188329452,1.4909131188329452,0,-0.009086881167054806,8.25714093441753e-5,0.019818771370532305,0.019818771370532305,0,0.019818771370532305,3.9278369863743096e-4,0.9979774327501826,0.9979774327501826,0,-0.0020225672498174196,4.090778280034001e-6,0.03683618595947462,0.0877528083150534,7.476455949478659e-4
8,10000,30,6,1,0,1,4,250,2,uniform,200,100,4,TRUE,100,100,2.3471832275390628e-4,1.484511958892342,1.4799351348488514,0.0507128576274485,-0.015488041107657873,0.0027859554068069433,0.9622538537223906,0.9636973182577945,0.0778730332742319,-0.03774614627760945,0.0074283387770270205,-0.006885296389969844,-0.006763741036135451,0.07877735828056419,-0.006885296389969844,0.006191220762265464,200,200,1,4.56,100,100,0.030731430053710873,1.4925300251689064,1.4925300251689064,0,-0.007469974831093573,5.580052397717146e-5,-0.022147292161365337,-0.022147292161365337,0,-0.022147292161365337,4.905025500808745e-4,0.9923971742174436,0.9923971742174436,0,-0.007602825782556444,5.7802959879905005e-5,0.0200292236698526,0.07922549831697359,0.0077814113780953565
9,25000,30,6,1,0,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.9654035568237305e-4,1.492812319813173,1.4977968664638948,0.05194916437708892,-0.0071876801868268805,0.00272339126915113,0.9919479294274509,0.9934336631404105,0.06266787707003993,-0.008052070572549095,0.003952826028806292,0.0033306249026362413,0.011707715800175933,0.07338631217109638,0.0033306249026362413,0.0053427883681749335,200,200,1,4.42,100,100,0.16087795019149762,1.499579908548692,1.499579908548692,0,-4.200914513079468e-4,1.7647682746201701e-7,0.009585972560852835,0.009585972560852835,0,0.009585972560852835,9.189086993742345e-5,0.9932535062567651,0.9932535062567651,0,-0.006746493743234883,4.551517782750742e-5,6.480039407522376e-5,0.017199047314841117,0.01151459171130091
10,5000,30,7,1,0,1,4,250,2,uniform,200,100,4,TRUE,100,100,1.872682571411133e-4,1.4962412736189916,1.4915413722942006,0.04936126146096351,-0.0037587263810083434,0.0024262968156947133,0.9947592552072422,0.989614064435897,0.07219440120613664,-0.0052407447927577885,0.005187376655840316,-0.010200374239779835,-0.01276441310726427,0.07502738036847595,-0.010200374239779835,0.005676864361537974,200,200,1,4.48,100,100,0.00910920858383178,1.4907655457100628,1.4907655457100628,0,-0.009234454289937188,8.527514603293935e-5,-0.0028268081682548928,-0.0028268081682548928,0,-0.0028268081682548928,7.990844420112582e-6,0.996842655811801,0.996842655811801,0,-0.0031573441881990183,9.968822322754117e-6,0.0351462135552953,0.001407615879331615,0.0019217463824475734
